category,classification,comments,dec,flux,id,pos_err,ra,ref_flux,simbad_name,src_type,tags,detail_url
Unverified,Unverified,,4.260677695737803,1.2466108e-11,416868,0.051967363407143946,3.880655387298816,,WXT J001531+041538,source,['known_source'],
Unverified,Unverified,,5.502170810916536,1.08406674e-11,410820,0.05080663381608325,331.4331613750133,,WXT J220544+053007,source,['known_source'],
Unverified,Unverified,,-38.45517129471991,1.2029186000000001e-11,410788,0.04406851980841575,347.837317810626,,WXT J231121-382718,source,['known_source'],
Unverified,Unverified,,-36.12943677257653,2.0840514000000002e-11,410227,0.03986777705681172,281.6386584509196,,WXT J184633-360746,source,['known_source'],
Unverified,Unverified,,-15.285942338227379,1.1283211400000001e-11,423192,0.04685174518240848,5.933786340189036,,WXT J002344-151709,source,['known_source'],
Unverified,Unverified,,-43.63818938089636,2.1063166e-11,393886,0.04896147420814014,280.2316963346457,,WXT J184056-433818,source,['known_source'],
Unverified,Unverified,,-35.89948980256466,1.1746624000000001e-11,393941,0.05644450014653533,355.0663707968694,,WXT J234015-355358,source,['known_source'],
Unverified,Unverified,,-36.21811353172965,1.018448e-11,393939,0.05388842018511497,316.5844726847767,,WXT J210620-361305,source,['known_source'],
Unverified,Unverified,,10.97626328297542,1.0226974000000001e-11,423295,0.05051493863702248,7.659415527166944,,WXT J003038+105834,source,['known_source'],
Unverified,Unverified,,-38.14888052072902,1.1759788800000001e-11,423446,0.04548494929965665,316.8825714659161,,WXT J210732-380856,source,['known_source'],
Unverified,Unverified,,-12.347019005427716,2.8527262000000003e-11,423711,0.04392959820911926,11.9429770944183,,WXT J004746-122049,source,['known_source'],
Unverified,Unverified,,-23.4408428,2.4523242e-12,207713,0.010371075736571447,243.4018724,,WXTJ161337-232611,source,['known_source'],
Unverified,Unverified,,-40.69055925488714,1.26302206e-11,392396,0.049072985625538634,259.7617113613669,,WXT J171902-404126,source,['known_source'],
Unverified,Unverified,,1.5237131185554098,2.3065142e-11,392444,0.04531520536573671,325.26299132117936,,WXT J214103+013125,source,['known_source'],
Unverified,Unverified,,24.777417623194882,1.5452708e-11,411760,0.04337485459199152,240.19727554334852,,WXT J160047+244639,source,['known_source'],
Unverified,Unverified,,-21.0109789890893,1.2723688000000002e-11,411850,0.03951151684799288,345.8702028809883,,WXT J230329-210040,source,['known_source'],
Unverified,Unverified,,20.21970577351737,1.5708422e-11,394014,0.04661356045811256,310.7832269052154,,WXT J204308+201311,source,['known_source'],
Unverified,Unverified,,6.036202265451053,1.4084074000000001e-11,394156,0.04887340590403351,296.77514588535246,,WXT J194706+060210,source,['known_source'],
Unverified,Unverified,,9.942322687430961,1.7545990000000002e-11,394162,0.050472385900007403,237.54611863846935,,WXT J155011+095632,source,['known_source'],
Unverified,Unverified,,33.000494981661625,6.1178826000000005e-12,394161,0.04277844406577243,257.74765107756224,,WXT J171059+330001,source,['known_source'],
Unverified,Unverified,,-52.64281027342332,1.9294990000000004e-11,393973,0.05142563639569066,294.13046283476564,,WXT J193631-523834,source,['known_source'],
Unverified,Unverified,,-8.074067566673957,1.2563906000000001e-11,394136,0.045635348797181015,264.76298951598693,,WXT J173903-080426,source,['known_source'],
Unverified,Unverified,,-16.943865676245448,1.0941992600000001e-11,412150,0.04594150744275564,294.69731307514286,,WXT J193847-165638,source,['known_source'],
Unverified,Unverified,,-7.500418868775305,2.8215946e-11,412259,0.04813309505188017,301.5448070114342,,WXT J200611-073002,source,['known_source'],
Galaxy,Galaxy,,-25.69285729532,5.9851e-13,88251,0.005466060345430599,181.7830350543499,1.63e-12,ESO 505-15,source,['known_source'],
Unverified,Unverified,,8.513066840697402,1.1684376000000001e-11,499510,0.04259061002719912,134.78082267306837,,WXT J085907+083047,source,['known_source'],
Unverified,Unverified,,29.000857305336304,7.4126344e-12,499550,0.03926774360500321,28.071944045859926,,WXT 015217+290003,source,['known_source'],
Unverified,Unverified,,35.6027471193082,1.8498422e-11,383196,0.048278770208763276,199.58378449718975,,WXT J131820+353609,source,['known_source'],
Unverified,Unverified,,6.662875672199688,9.040188e-12,427325,0.04424969389951703,56.517622579240054,,WXT J034604+063946,source,['known_source'],
CV,CV,,-0.87084877645,1.7564402e-11,140869,0.008144995024242352,310.03816623298997,2.28e-11,AE Aqr,source,['known_source'],
Unverified,Unverified,,9.591598349259243,1.2979554000000001e-11,402426,0.04872477818037611,311.02640030478966,,WXT J204406+093529,source,['known_source'],
XRB,LMXB,,0.5849633979699999,4.5719486000000005e-12,37638,0.0,287.81690471389,4.69e-12,Aql X-1,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,-15.223888888888888,1.3751058800000002e-11,205799,0.012424766917275707,346.8084166666667,1.43e-11,ACO 2533,source,['known_source'],
XRB,LMXB,,-53.75137447421,2.1199098e-10,37676,0.0,250.23165706396998,4.61e-12,V801 Ara,source,['known_source'],
