"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"192600","AT 2025adjc","23:56:23.930","-31:21:11.50","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J235623.93-312111.5","BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam","","1","1","","18.16","BG-q-BlackGem","2025-11-13 00:41:46.000","BlackGEM_Bot1","","","2025TNSTR4571....1T","","",""
"192599","AT 2025adjb","00:31:26.269","-47:28:54.66","","","","","GOTO","GOTO","","GOTO","GOTO25jyy","GOTO-S - GOTO-4","","1","1","","19.46","L-GOTO","2025-10-30 11:50:02.112","GOTO_bot","","","2025TNSTR4575....1O","","",""
"192598","AT 2025adja","05:45:01.269","-52:23:08.68","","","","","GOTO","GOTO","","GOTO","GOTO25jyc","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.82","L-GOTO","2025-11-12 17:10:39.936","GOTO_bot","","","2025TNSTR4572....1K","","",""
"192597","SN 2025adiz","23:38:11.825","-25:47:48.89","SN Ia","0.13","","","GOTO, GW-MMADS, ATLAS","GOTO, GW-MMADS, ATLAS","SAGUARO","ATLAS, GOTO, GW-MMADS","GOTO25jzt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, CTIO-4m - DECAM, GOTO-S - GOTO-3, GOTO-S - GOTO-4","MMT - BINOSPEC, Other - Other","1","1","","19.79","L-GOTO","2025-11-14 09:56:35.520","GOTO_bot","","","2025TNSTR4575....1O","2025TNSCR4593....1S, 2025TNSCR4594....1S","",""
"192596","AT 2025adiy","04:42:31.961","-54:08:52.10","","","","","GOTO","GOTO","","GOTO","GOTO25jzo","GOTO-S - GOTO-4","","1","1","","20.26","L-GOTO","2025-11-12 17:35:57.120","GOTO_bot","","","2025TNSTR4576....1R","","",""
"192595","AT 2025adix","23:28:15.690","-24:21:03.95","","","","","BlackGEM","BlackGEM","","BlackGEM","BGEM J232815.69-242103.9","BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam","","1","1","","19.79","BG-q-BlackGem","2025-11-13 01:41:45.000","BlackGEM_Bot1","","","2025TNSTR4571....1T","","",""
"192594","SN 2025adiw","01:45:17.795","-50:10:46.22","SN Ia","0.165","","","GOTO","GOTO","STEP","GOTO","GOTO25jzc","GOTO-S - GOTO-3, GOTO-S - GOTO-4","SOAR - Goodman","1","1","","19.96","L-GOTO","2025-11-14 11:44:38.112","GOTO_bot","","","2025TNSTR4572....1K","2025TNSCR4628....1K","",""
"192593","AT 2025adiv","01:38:57.832","-50:12:46.49","","","","","GOTO","GOTO","","GOTO","GOTO25jzd","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","20.15","L-GOTO","2025-11-14 11:44:38.112","GOTO_bot","","","2025TNSTR4572....1K","","",""
"192592","AT 2025adiu","23:41:57.093","-37:54:45.60","","","","","GOTO, ATLAS","GOTO, ATLAS","","ATLAS, GOTO","GOTO25jze","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3","","1","1","","20.17","L-GOTO","2025-11-14 10:19:37.920","GOTO_bot","","","2025TNSTR4573....1K","","",""
"192591","AT 2025adit","01:59:48.642","-52:22:59.13","","","","","GOTO","GOTO","","GOTO","GOTO25jzm","GOTO-S - GOTO-3","","1","1","","20.12","L-GOTO","2025-11-14 10:34:58.944","GOTO_bot","","","2025TNSTR4574....1O","","",""
"192590","AT 2025adis","00:54:51.015","-40:05:08.99","","","","","GOTO","GOTO","","GOTO","GOTO25jzl","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","20.45","L-GOTO","2025-11-14 10:04:17.760","GOTO_bot","","","2025TNSTR4575....1O","","",""
"192589","AT 2025adir","00:56:45.711","-41:59:19.49","","","","","GOTO, GW-MMADS","GOTO, GW-MMADS","","GOTO, GW-MMADS","GOTO25jzn","CTIO-4m - DECAM, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","20.13","L-GOTO","2025-11-14 10:04:17.760","GOTO_bot","","","2025TNSTR4575....1O","","",""
"192588","AT 2025adiq","23:58:25.519","-30:38:45.73","","","","","GOTO, GW-MMADS","GOTO, GW-MMADS","","GOTO, GW-MMADS","GOTO25jzj","CTIO-4m - DECAM, GOTO-S - GOTO-4","","1","1","","20.15","L-GOTO","2025-11-14 09:57:47.232","GOTO_bot","","","2025TNSTR4575....1O","","",""
"192587","AT 2025adip","23:31:22.175","-31:31:00.19","","","","","GOTO","GOTO","","GOTO","GOTO25jzh","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.59","L-GOTO","2025-11-14 10:28:22.368","GOTO_bot","","","2025TNSTR4578....1A","","",""
